home_zid,work_zid,customers_cnt
-2,1,2434
-2,2,3858
-2,3,6667
-2,4,2211
-2,5,8622
-2,6,3442
-2,7,1360
-2,8,3085
-2,9,1357
-2,10,8625
-2,11,1082
-2,12,2452
-2,13,5808
-2,14,3314
-2,15,3231
-2,16,5227
-2,17,9895
-2,18,1637
-2,19,1234
-2,20,4592
-2,21,4737
-2,22,2248
-2,23,7994
-2,24,6433
-2,25,7622
-2,26,2893
-2,27,3491
-2,28,6697
-2,29,2736
-2,30,6399
-2,31,6395
-2,32,6318
-2,33,3279
-2,34,2024
-2,35,3442
-2,36,4127
-2,37,4955
-2,38,2901
-2,39,15431
-2,40,4274
-2,41,4536
-2,42,15023
-2,43,3498
-2,44,33370
-2,45,3281
-2,46,1614
-2,47,3466
-2,48,5507
-2,49,6413
-2,50,18282
-2,51,1425
-2,52,2571
-2,53,10614
-2,54,2715
-2,55,7117
-2,56,6155
-2,57,2700
-2,58,2176
-2,59,4679
-2,60,6189
-2,61,7119
-2,62,3825
-2,63,8437
-2,64,3846
-2,65,1584
-2,66,35729
-2,67,12917
-2,68,2408
-2,69,24511
-2,70,8576
-2,71,8328
-2,72,3816
-2,73,2532
-2,74,8745
-2,75,5187
-2,76,16486
-2,77,2665
-2,78,3429
-2,79,1226
-2,80,20816
-2,81,2035
-2,82,2907
-2,83,7449
-2,84,4285
-2,85,32262
-2,86,20792
-2,87,2453
-2,88,20624
-2,89,7897
-2,90,2946
-2,91,3278
-2,92,8337
-2,93,2390
-2,94,6443
-2,95,9473
-2,96,3864
-2,97,2677
-2,98,2912
-2,99,16270
-2,100,2420
-2,101,3513
-2,102,2520
-2,103,9779
-2,104,2428
-2,105,6233
-2,106,10471
-2,107,5500
-2,108,3628
-2,109,8958
-2,110,1250
-2,111,889
-2,112,4853
-2,113,2272
-2,114,4653
-2,115,1921
-2,116,4449
-2,117,3175
-2,118,8693
-2,119,6660
-2,120,1221
-2,121,2765
-2,122,3209
-2,123,2442
-2,124,523
-2,125,3441
-2,187,228
-2,197,589
-2,198,748
-2,213,1160
-2,216,609
-2,219,656
-2,227,1798
-2,228,1052
-2,232,403
-2,235,895
-2,238,4813
-2,242,702
-2,246,308
-2,247,456
-2,248,1728
-2,249,4524
-2,250,541
-2,264,831
-2,271,3484
-2,272,1843
-2,276,1991
-1,1,2153
-1,2,2545
-1,3,6886
-1,4,2500
-1,5,6247
-1,6,2626
-1,7,2043
-1,8,2204
-1,9,1053
-1,10,6629
-1,11,1543
-1,12,1601
-1,13,3595
-1,14,1831
-1,15,3544
-1,16,7002
-1,17,7036
-1,18,2441
-1,19,2496
-1,20,5422
-1,21,3700
-1,22,1659
-1,23,8202
-1,24,6363
-1,25,9317
-1,26,3548
-1,27,2828
-1,28,6012
-1,29,2901
-1,30,3718
-1,31,6418
-1,32,5474
-1,33,3821
-1,34,1800
-1,35,4140
-1,36,3629
-1,37,3741
-1,38,8017
-1,39,17182
-1,40,4762
-1,41,5193
-1,42,10624
-1,43,4412
-1,44,30652
-1,45,2209
-1,46,1555
-1,47,2808
-1,48,5581
-1,49,6109
-1,50,14184
-1,51,1611
-1,52,2057
-1,53,10369
-1,54,2794
-1,55,5207
-1,56,6644
-1,57,3314
-1,58,2026
-1,59,3875
-1,60,6445
-1,61,5164
-1,62,3424
-1,63,9577
-1,64,4589
-1,65,1664
-1,66,30167
-1,67,14032
-1,68,2370
-1,69,29243
-1,70,8380
-1,71,7015
-1,72,2510
-1,73,2650
-1,74,7712
-1,75,4389
-1,76,12991
-1,77,3499
-1,78,4529
-1,79,1204
-1,80,14491
-1,81,967
-1,82,2821
-1,83,7221
-1,84,4271
-1,85,24673
-1,86,14823
-1,87,1765
-1,88,15106
-1,89,3827
-1,90,3140
-1,91,1877
-1,92,7574
-1,93,4012
-1,94,6383
-1,95,13099
-1,96,2949
-1,97,2223
-1,98,3365
-1,99,11036
-1,100,2845
-1,101,6454
-1,102,1679
-1,103,9981
-1,104,2198
-1,105,6058
-1,106,7452
-1,107,12649
-1,108,3991
-1,109,5915
-1,110,1887
-1,111,1210
-1,112,3795
-1,113,1605
-1,114,4334
-1,115,4067
-1,116,5243
-1,117,3112
-1,118,5935
-1,119,4252
-1,120,1033
-1,121,1607
-1,122,2373
-1,123,1090
-1,124,206
-1,125,1455
-1,187,590
-1,197,1034
-1,198,1004
-1,213,1658
-1,216,1154
-1,219,1591
-1,227,1765
-1,228,2472
-1,232,675
-1,235,3169
-1,238,12769
-1,242,815
-1,246,1470
-1,247,2353
-1,248,1134
-1,249,11649
-1,250,1444
-1,264,1390
-1,271,3132
-1,272,3511
-1,276,1697
1,-2,2621
1,-1,20003
1,1,3203
1,2,872
1,3,9
1,4,1194
1,5,34
1,6,1338
1,8,795
1,9,2
1,10,4
1,11,2
1,12,26
1,13,16
1,14,14
1,15,12
1,16,21
1,17,16
1,18,1
1,19,5
1,20,13
1,21,41
1,22,14
1,23,30
1,24,21
1,25,10
1,26,0
1,27,27
1,28,41
1,29,2
1,30,30
1,31,11
1,32,18
1,33,21
1,34,0
1,35,0
1,36,11
1,37,24
1,38,10
1,39,32
1,40,17
1,41,8
1,42,56
1,43,25
1,44,72
1,45,2
1,46,9
1,47,9
1,48,25
1,49,13
1,50,61
1,51,0
1,52,5
1,53,39
1,54,12
1,55,12
1,56,17
1,57,2
1,58,2
1,59,2
1,60,12
1,61,15
1,63,29
1,64,5
1,65,17
1,66,97
1,67,20
1,68,5
1,69,43
1,70,34
1,71,9
1,72,16
1,73,7
1,74,28
1,75,22
1,76,43
1,77,6
1,78,0
1,79,3
1,80,36
1,81,1
1,82,10
1,83,13
1,84,6
1,85,54
1,86,72
1,87,2
1,88,24
1,89,11
1,90,0
1,91,5
1,92,11
1,94,4
1,95,6
1,96,7
1,97,5
1,98,0
1,99,15
1,100,3
1,101,3
1,102,1
1,103,4
1,105,12
1,106,19
1,107,0
1,108,3
1,109,12
1,113,1
1,114,11
1,115,1
1,116,0
1,117,1
1,118,0
1,119,1
1,120,2
1,121,5
1,122,0
1,213,0
1,216,2
1,228,0
1,238,0
1,247,0
1,248,5
1,249,3
1,250,3
1,272,4
1,276,2
2,-2,5586
2,-1,42900
2,1,1168
2,2,7000
2,3,25
2,4,1458
2,5,65
2,6,1557
2,7,3
2,8,1161
2,9,4
2,10,31
2,11,3
2,12,52
2,13,54
2,14,36
2,15,14
2,16,31
2,17,34
2,18,1
2,19,3
2,20,47
2,21,35
2,22,54
2,23,57
2,24,30
2,25,22
2,26,5
2,27,41
2,28,104
2,29,10
2,30,55
2,31,17
2,32,52
2,33,45
2,34,7
2,35,3
2,36,22
2,37,32
2,38,12
2,39,74
2,40,46
2,41,12
2,42,83
2,43,66
2,44,189
2,45,6
2,46,22
2,47,9
2,48,47
2,49,15
2,50,113
2,52,13
2,53,84
2,54,32
2,55,57
2,56,21
2,57,6
2,58,19
2,59,6
2,60,43
2,61,52
2,62,8
2,63,92
2,64,5
2,65,24
2,66,225
2,67,66
2,68,7
2,69,118
2,70,77
2,71,27
2,72,21
2,73,8
2,74,47
2,75,11
2,76,103
2,77,3
2,78,4
2,79,6
2,80,109
2,81,2
2,82,5
2,83,26
2,84,14
2,85,165
2,86,173
2,87,17
2,88,94
2,89,28
2,90,0
2,91,10
2,92,24
2,93,4
2,94,27
2,95,26
2,96,7
2,97,15
2,98,13
2,99,51
2,100,8
2,101,11
2,102,6
2,103,35
2,104,2
2,105,39
2,106,41
2,107,7
2,108,12
2,109,12
2,111,1
2,112,2
2,113,4
2,114,9
2,115,1
2,116,15
2,117,5
2,118,4
2,119,3
2,120,5
2,121,1
2,122,5
2,123,1
2,213,2
2,216,2
2,227,3
2,235,1
2,238,9
2,247,3
2,249,15
2,272,3
3,-2,1148
3,-1,44043
3,3,8565
3,4,1
3,5,146
3,6,1
