X,Y
55.630734877,37.454584606
55.621275827,37.463908260
55.610819648,37.466784431
55.604531730,37.475684112
55.592875600,37.451751706
55.597743270,37.449797897
55.606450850,37.415693490
55.617384954,37.420216841
55.622905808,37.436122321
55.625654507,37.423935728
55.616072136,37.386442827
55.640994242,37.423255760
55.633917306,37.417258640
55.590955141,37.483399522
55.590032363,37.464250844
55.585207220,37.544660317
55.571459305,37.515957853
55.571678316,37.477820761
55.561581380,37.483469522
55.553409257,37.512835665
55.570112354,37.461723132
55.552888323,37.480844272
55.556045278,37.466480982
55.546569123,37.489116262
55.547877161,37.506871966
55.545911925,37.469694705
55.549575452,37.453601672
55.543220487,37.458031749
55.612651250,37.355596447
55.628218642,37.344839012
55.632691967,37.333620207
55.642325420,37.322508402
55.160137932,37.076305647
55.162217445,37.084715162
55.163581816,37.095873202
55.167111812,37.105640359
55.172970744,37.127615860
55.177786938,37.105745646
55.171056879,37.077138424
55.176870696,37.034165240
55.189321718,37.057644280
55.206046947,37.037678818
55.200808588,37.097270837
55.212914351,37.060698318
55.214088250,37.071890067
55.215557419,37.003366565
55.220717113,36.993599417
55.227773666,36.971624293
55.249695614,36.975732222
55.239956718,37.016290465
55.252160904,37.044343207
55.240340954,37.072197177
55.236531709,37.089992583
55.214555758,37.161152359
55.261953766,37.100140536
55.256047872,37.176543591
55.283349955,37.143907371
55.234911125,37.323572310
55.248357840,37.351040093
55.253255266,37.330407961
55.251943007,37.398411839
55.272969553,37.377067632
55.285995499,37.354477336
55.281509061,37.303973658
55.276093664,37.235793699
55.325241142,37.006803991
55.343194732,36.958784891
55.327717129,37.069211715
55.346937406,37.052530406
55.306540403,37.142888967
55.317291278,37.133258583
55.398920573,36.912452016
55.398882825,36.981119731
55.392087693,37.019763501
55.407192779,37.008132079
55.394706171,37.063094954
55.385920092,37.089045995
55.369690641,37.110307284
55.343807455,37.121352711
55.415515926,36.862338483
55.433228520,36.835411930
55.431245509,36.867232175
55.426393843,36.887383287
55.434202820,36.908132126
55.445557232,36.895385454
55.453701833,36.924158003
55.468861856,36.914537145
55.466137199,36.882656415
55.481113404,36.923808709
55.499930711,36.924872398
55.434814917,36.965019042
55.437034149,36.995595777
55.452166287,36.992092341
55.458266361,36.949669969
55.415304586,37.085749264
55.403499760,37.112117440
55.398480712,37.123155350
55.429201367,37.113125827
55.429274915,37.137085003
55.431287506,37.156085624
55.420632157,37.181480482
55.412866471,37.173759378
55.409958239,37.168695640
55.448358588,37.173765589
55.433076557,37.188418953
55.424790616,37.208633229
55.407733371,37.221223935
55.405868491,37.230054879
55.402355367,37.239605979
55.388431974,37.204708453
55.384982407,37.176999080
55.297100507,37.199328078
55.298544880,37.216274203
55.305321251,37.199392595
55.317157774,37.190886223
55.326658544,37.180418957
55.298783829,37.242401848
55.319056247,37.247842975
55.335537780,37.194888039
55.331713061,37.234685248
55.326821612,37.264838850
55.354962630,37.213340817
55.351090197,37.155071801
55.348803232,37.178306039
55.363115637,37.174147823
55.366653967,37.201759988
55.372155840,37.196297688
55.368437548,37.222072706
55.303706283,37.313653480
55.306935145,37.339790391
55.308292498,37.349910585
55.322603549,37.335393821
55.327242637,37.348901459
55.317896300,37.408243680
55.325227170,37.296075047
55.343048558,37.287353950
55.334666916,37.391001416
55.340405362,37.363900327
55.344969438,37.398820462
55.349696760,37.341947488
55.359542637,37.325191666
55.361189060,37.382989340
55.367123621,37.411946596
55.374155816,37.375267399
55.379675580,37.362745441
55.388044326,37.397643142
55.384703111,37.422030376
55.381273864,37.436911731
55.402410559,37.442764581
55.398055697,37.383581218
55.397194782,37.365229848
55.401940042,37.323098152
55.388246907,37.245489711
55.411806186,37.297671018
55.471336312,37.168646763
55.445391553,37.220603192
55.452218968,37.243080158
55.445853838,37.277208519
55.470400532,37.286729317
55.432993220,37.255289887
55.421639680,37.257555260
55.428306939,37.312394143
55.427011661,37.325055106
