Region; Adress; Link;NO2;NO;CO;PM2,5;C6H6;CH4;SO2;PM10;O3;C8H8;C6H5OH;H2S
ЧАЯНОВА;город Москва, 4-я Тверская-Ямская улица, дом 26/8;https://mosecom.mos.ru/chayanova/;0.147;0.015;0.04;;;;;;;;;
ХАМОВНИКИ;город Москва, улица Хамовнический Вал, дом 24;https://mosecom.mos.ru/xamovniki/;;;0.053;0.054;0.016;0.027;;;;;;
СПИРИДОНОВКА;город Москва, улица Спиридоновка, дом 10;https://mosecom.mos.ru/spiridonovka/;;;0.193;;;;0.003;0.071;0.122;;;
ДОЛГОПРУДНАЯ;город Москва, Карельский бульвар, дом 6, корпус 1;https://mosecom.mos.ru/dolgoprudnaya/;;;0.067;;;;0.003;0.05;;;;
СВЕТЛЫЙ ПРОЕЗД;город Москва, Светлый проезд, дом 12;https://mosecom.mos.ru/svetlyj-proezd/;0.047;0.002;0.093;;;;;;;;;
НИЖНЯЯ МАСЛОВКА;город Москва, улица Нижняя Масловка, дом 10;https://mosecom.mos.ru/nizhnyaya-maslovka/;0.206;;;;;0.029;;;;0.025;0.023;
МАДИ;город Москва, Ленинградский проспект, дом 64;https://mosecom.mos.ru/madi/;0.178;0.183;0.02;;;;;;0.049;;;
ПОЛЯРНАЯ;город Москва, Полярная улица, дом 10;https://mosecom.mos.ru/polyarnaya/;0.177;0.028;0.087;;;;;;0.122;;;
ОСТАНКИНО 0;город Москва, улица Академика Королёва, дом 15А;https://mosecom.mos.ru/ostankino-0/;0.16;;;;;0.027;;;0.166;;;0.004
НОВОКОСИНО;город Москва, Салтыковская улица, дом 7, корпус 2;https://mosecom.mos.ru/novokosino/;;0.018;0.06;;;0.024;;;;;;0.004
ЛОСИНЫЙ ОСТРОВ;город Москва, 12-я улица Красной Сосны, дом 31;https://mosecom.mos.ru/losinyj-ostrov/;;;;;;;;;0.094;;;
КОЖУХОВО;город Москва, Лухмановская улица, дом 34;https://mosecom.mos.ru/kozhuxovo/;;;0;;;;0.004;0.021;0.09;;;
ГЛЕБОВСКАЯ;город Москва, Глебовская улица, дом 3, корпус 1;https://mosecom.mos.ru/glebovskaya/;0.175;0.016;0.04;;;0.029;;;;;;
ТЕХНОПОЛИС;город Москва, Волгоградский проспект, дом 42;https://mosecom.mos.ru/texnopolis/;0.206;0.014;;;;;;0.056;;;;0.006
МАРЬИНО;город Москва, Новомарьинская улица, дом 7;https://mosecom.mos.ru/marino/;;0.03;0;;;;0.004;0.077;;;;
М2 (ЖУЛЕБИНО);город Москва, улица Маршала Полубоярова, дом 8;https://mosecom.mos.ru/m2-zhulebino/;0.21;0.016;0.093;;;0.025;;;;;;
ЛЮБЛИНО;город Москва, Совхозная улица, дом 1, строение 1;https://mosecom.mos.ru/lyublino/;;0.131;0.153;;;;0.006;;;;;0.01
БРАТЕЕВО;город Москва, ул. Алма-Атинская, д. 11, к.1;https://mosecom.mos.ru/brateevo/;0.226;0.019;;;;0.026;;;;;;0.002
ЮЖНОЕ ЧЕРТАНОВО;г. Москва, ул. Дорожная, д. 32;https://mosecom.mos.ru/yuzhnoe-chertanovo/;;;;;;;;;;;;
ШАБОЛОВКА;город Москва, Дальний переулок, дом 2, корпус 1;https://mosecom.mos.ru/shabolovka/;0.22;0.008;;;;;0.001;;;;;0.003
ЧУРА;город Москва, Загородное шоссе, владение 2, строение 2Б/Н;https://mosecom.mos.ru/chura/;;;;;;;;;;;;
БУТЛЕРОВА;город Москва, улица Бутлерова, дом 15;https://mosecom.mos.ru/butlerova/;;;0.04;0.043;;0.03;;;;;;
ЧЕРЕМУШКИ;город Москва, Большая Черёмушкинская улица, дом 30, корпус 1;https://mosecom.mos.ru/cheremushki/;0.163;0.006;0.04;;;;;;;;;0.009
МЕЛИТОПОЛЬСКАЯ;город Москва, 2-я Мелитопольская улица, дом 19;https://mosecom.mos.ru/melitopolskaya/;0.173;0.088;;0.034;;;;0.041;;;;
ОЧАКОВСКОЕ-2;город Москва, ул. Веерная,д.3, к.1;https://mosecom.mos.ru/ochakovskoe-2/;0.133;0.007;;;;;;0.038;;;;
М1 (ОЧАКОВСКОЕ);город Москва, Очаковское шоссе, дом 11, корпус 1;https://mosecom.mos.ru/ochakovskaya/;;0.029;;;;0.028;;0.032;;;;0.002
ТОЛБУХИНА;город Москва, улица Толбухина, дом 10, корпус 4;https://mosecom.mos.ru/tolbuxina/;;;0.067;;;;;;0.039;;;
МГУ;город Москва, территория Ленинские Горы, дом 1, строение 27;https://mosecom.mos.ru/mgu/;;;0.033;;;0.022;;0.06;0.041;;;
ТУРИСТСКАЯ;город Москва, Туристская улица, дом 18;https://mosecom.mos.ru/turistskaya/;;0.004;0.02;0.034;;0.029;;;;;;
НАРОДНОГО ОПОЛЧЕНИЯ;город Москва, улица Народного Ополчения, дом 21, корпус 1;https://mosecom.mos.ru/narodnogo-opolcheniya/;0.213;0.057;0.083;;;;;;;;;0.004
ЗЕЛЕНОГРАД 6;город Москва, город Зеленоград, корпус 623;https://mosecom.mos.ru/zelenograd-6/;;0.008;0.06;;;0.028;;;;;;0.004
ЗЕЛЕНОГРАД 16;город Москва, город Зеленоград, корпус 1606;https://mosecom.mos.ru/zelenograd-16/;;;0.033;;;0.029;;0.026;;;;
ЗЕЛЕНОГРАД 11;город Москва, город Зеленоград, корпус 1140;https://mosecom.mos.ru/zelenograd-11/;0.065;0.001;;0.057;;;;;;;;0.002
РОГОВО;город Москва, поселение Роговское, посёлок Рогово, Школьная улица, дом 17;https://mosecom.mos.ru/rogovo/;;;0.02;;;;;;;;;
ЩЕРБИНКА;город Москва, город Щербинка, Пушкинская улица, дом 6;https://mosecom.mos.ru/shherbinka/;0.183;0.071;0;;;;;;;;;
ТРОИЦК;город Москва, город Троицк, улица Текстильщиков, дом 4;https://mosecom.mos.ru/troick/;0.111;0.015;0.027;;;;;;;;;
СЕМЕНКОВО;город Москва, поселение Вороновское, деревня Семенково, Центральная улица, дом 75;https://mosecom.mos.ru/semenkovo/;;;0.011;;;;;;0.194;;;
