Property;Value;
Standardversion;"https://data.gov.ru/metodicheskie-rekomendacii-po-publikacii-otkrytyh-dannyh-versiya-30";
Id;613;
Identifier;"7705021556-culturesafeboundary";
Title;"Границы зон охраны объектов культурного наследия";
Description;"Границы зон охраны объектов культурного наследия, расположенные в пределах установленных границ города Москвы";
CategoryId;5;
CategoryCaption;"Культура";
CreatorId;7;
Creator;"Департамент культурного наследия города Москвы";
Format;"JSON";
VersionNumber;"3.142";
Valid;"information not found";
Modified;"11.10.2021";
Provenance;"Выпуск релиза";
ProvenanceEng;"Update Release";
Subject;["культура","культурное наследие","памятники архитектуры","памятник","наследие","наследия","охрана объектов"];
Structure;"https://apidata.mos.ru/v1/datasets/7705021556-granitsy-zon-ohrany-obektov-kulturnogo-naslediya/structure-20160115(vs3).json";
Publisher;[{"FIO":"Мескова Екатерина Николаевна","Email":"MeskovaEN@mos.ru","Phone":"(495) 951-90-18"}];
Created;"01.02.2013";
