cell_zid,area_peresechenia_s_admzone_kv.km,adm_zid,adm_name,okrug_name,sub_ter
32909,0.407116,216,Роговское,Троицкий административный округ,Новая Москва
32910,1.00345811,216,Роговское,Троицкий административный округ,Новая Москва
33261,0.23331238,216,Роговское,Троицкий административный округ,Новая Москва
33262,1.86803165,216,Роговское,Троицкий административный округ,Новая Москва
33263,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
33264,2.50063222,216,Роговское,Троицкий административный округ,Новая Москва
33265,2.46342535,216,Роговское,Троицкий административный округ,Новая Москва
33614,1.87023613,216,Роговское,Троицкий административный округ,Новая Москва
33615,2.5006286600000003,216,Роговское,Троицкий административный округ,Новая Москва
33616,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
33617,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
33618,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
33619,2.5006350399999997,216,Роговское,Троицкий административный округ,Новая Москва
33620,2.50063702,216,Роговское,Троицкий административный округ,Новая Москва
33621,2.50063866,216,Роговское,Троицкий административный округ,Новая Москва
33622,2.50064042,216,Роговское,Троицкий административный округ,Новая Москва
33623,2.50064185,216,Роговское,Троицкий административный округ,Новая Москва
33624,2.21843184,216,Роговское,Троицкий административный округ,Новая Москва
33965,1.25169876,216,Роговское,Троицкий административный округ,Новая Москва
33966,2.49889233,216,Роговское,Троицкий административный округ,Новая Москва
33967,2.5006286600000003,216,Роговское,Троицкий административный округ,Новая Москва
33968,2.50063046,216,Роговское,Троицкий административный округ,Новая Москва
33969,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
33970,2.50063426,216,Роговское,Троицкий административный округ,Новая Москва
33971,2.50063627,216,Роговское,Троицкий административный округ,Новая Москва
33972,2.50063748,216,Роговское,Троицкий административный округ,Новая Москва
33973,2.50063866,216,Роговское,Троицкий административный округ,Новая Москва
33974,2.50064042,216,Роговское,Троицкий административный округ,Новая Москва
33975,2.50064216,216,Роговское,Троицкий административный округ,Новая Москва
33976,2.4908294399999997,216,Роговское,Троицкий административный округ,Новая Москва
33977,2.31933799,216,Роговское,Троицкий административный округ,Новая Москва
33978,2.11955837,216,Роговское,Троицкий административный округ,Новая Москва
33979,1.9198555499999999,216,Роговское,Троицкий административный округ,Новая Москва
33980,1.43663121,216,Роговское,Троицкий административный округ,Новая Москва
34317,2.19410335,216,Роговское,Троицкий административный округ,Новая Москва
34318,2.50062623,216,Роговское,Троицкий административный округ,Новая Москва
34319,2.50062836,216,Роговское,Троицкий административный округ,Новая Москва
34320,2.50063015,216,Роговское,Троицкий административный округ,Новая Москва
34321,2.50063192,216,Роговское,Троицкий административный округ,Новая Москва
34322,2.5006336499999997,216,Роговское,Троицкий административный округ,Новая Москва
